0.00	1.7919E+00
1.00	1.0818E+00
2.00	5.9723E-01
3.00	3.1484E-01
4.00	1.6105E-01
5.00	8.0679E-02
6.00	3.9820E-02
7.00	1.9446E-02
8.00	9.4251E-03
9.00	4.5434E-03
10.00	2.1819E-03
11.00	1.0450E-03
12.00	4.9954E-04
13.00	2.3852E-04
14.00	1.1377E-04
15.00	5.4230E-05
16.00	2.5839E-05
17.00	1.2308E-05
18.00	5.8612E-06
19.00	2.7909E-06
20.00	1.3301E-06
21.00	6.3321E-07
22.00	3.0144E-07
23.00	1.4352E-07
24.00	6.8321E-08
25.00	3.2800E-08
26.00	1.5613E-08
27.00	7.4321E-09
28.00	3.5377E-09
29.00	1.6848E-09
30.00	8.0196E-10
31.00	3.8174E-10
32.00	1.8171E-10
33.00	8.6495E-11
34.00	4.1173E-11
35.00	1.9598E-11
36.00	9.3289E-12
37.00	4.4414E-12
38.00	2.1141E-12
39.00	1.0065E-12
40.00	4.7908E-13
41.00	2.2806E-13
42.00	1.0856E-13
43.00	5.1674E-14
44.00	2.4597E-14
45.00	1.1708E-14
46.00	5.5732E-15
47.00	2.6530E-15
48.00	1.2627E-15
49.00	6.0107E-16
50.00	2.8612E-16
51.00	1.3619E-16
52.00	6.4829E-17
53.00	3.0859E-17
54.00	1.4689E-17
55.00	6.9922E-18
56.00	3.3285E-18
57.00	1.5844E-18
58.00	7.5518E-19
59.00	3.5947E-19
60.00	1.7112E-19
61.00	8.1453E-20
62.00	3.8772E-20
63.00	1.8458E-20
64.00	8.7862E-21
65.00	4.1829E-21
66.00	1.9909E-21
67.00	9.4765E-22
68.00	4.5117E-22
69.00	2.1478E-22
70.00	1.0224E-22
71.00	4.8666E-23
72.00	2.3166E-23
73.00	1.1027E-23
74.00	5.8574E-24
75.00	2.7881E-24
76.00	1.3272E-24
77.00	6.3173E-25
78.00	3.0071E-25
79.00	1.4319E-25
80.00	6.8182E-26
81.00	3.2455E-26
82.00	1.5449E-26
83.00	7.3537E-27
84.00	3.5003E-27
85.00	1.6662E-27
86.00	7.9313E-28
87.00	3.7753E-28
88.00	1.7971E-28
89.00	8.5548E-29
90.00	4.0724E-29
91.00	1.9385E-29
92.00	9.2277E-30
93.00	4.3925E-30
94.00	2.0911E-30
95.00	9.9562E-31
96.00	4.7450E-31
97.00	2.2718E-31
98.00	1.1130E-31
99.00	6.3316E-32
